;R 1;AB 1;DTR AB_R_1000.csv;DTR AB_R_2000.csv;DTR AB_R_3000.csv;DTR AB_R_4000.csv;DTR AB_R_5000.csv;DTR QL_10k_R_1000.csv;DTR QL_10k_R_2000.csv;DTR QL_10k_R_3000.csv;DTR QL_10k_R_4000.csv;DTR QL_10k_R_5000.csv;DTR QL_1k_R_1000.csv;DTR QL_1k_R_2000.csv;DTR QL_1k_R_3000.csv;DTR QL_1k_R_4000.csv;DTR QL_1k_R_5000.csv;DTR R_100k.csv;DTR R_R_1000.csv;DTR R_R_2000.csv;DTR R_R_3000.csv;DTR R_R_4000.csv;DTR R_R_5000.csv;QL R10k;QL R20k;QL R30k;QL R40k;QL R50k;QL R60k;QL R70k;QL R80k;[None, None, None]
R 1;0;8.1;10.9;18.099999999999998;15.299999999999999;13.8;12.0;11.799999999999999;13.900000000000002;10.100000000000001;15.299999999999999;16.400000000000002;19.6;10.2;0.5;27.700000000000003;7.3;7.199999999999999;6.1;1.7000000000000002;7.8;7.8;16.8;10.8;13.4;12.3;13.100000000000001;14.799999999999999;11.3;13.600000000000001;13.200000000000001;[None, None, None]
AB 1;5.4;0;3.9;2.1;1.2;1.6;2.0;2.1999999999999997;1.6;1.2;1.5;1.4000000000000001;10.5;3.6999999999999997;0.0;9.0;2.4;16.7;1.2;0.3;0.0;1.6;2.1;4.9;5.5;5.3;4.7;5.1;4.3;5.1;5.8999999999999995;[None, None, None]
DTR AB_R_1000.csv;13.8;8.1;0;12.7;15.8;13.900000000000002;12.6;10.299999999999999;13.600000000000001;12.4;17.2;15.7;19.5;9.5;0.6;25.2;7.3999999999999995;5.8999999999999995;4.1000000000000005;2.7;7.5;7.3999999999999995;14.099999999999998;12.8;12.8;12.5;12.0;11.0;12.2;14.099999999999998;12.9;[None, None, None]
DTR AB_R_2000.csv;13.700000000000001;6.4;11.0;0;16.400000000000002;15.299999999999999;12.3;11.4;15.0;11.600000000000001;14.299999999999999;14.799999999999999;17.4;10.4;0.7000000000000001;23.1;6.4;6.3;4.2;2.3;8.200000000000001;7.5;14.299999999999999;11.700000000000001;13.100000000000001;12.7;13.700000000000001;13.3;11.600000000000001;10.299999999999999;12.2;[None, None, None]
DTR AB_R_3000.csv;11.5;8.1;11.4;16.8;0;13.5;12.2;13.200000000000001;15.5;11.4;16.400000000000002;14.799999999999999;22.0;8.799999999999999;1.0999999999999999;25.0;7.7;5.4;4.9;2.9000000000000004;9.0;8.0;14.7;13.100000000000001;11.600000000000001;11.700000000000001;12.8;13.4;12.7;14.299999999999999;14.7;[None, None, None]
DTR AB_R_4000.csv;12.7;7.3;10.9;15.5;14.2;0;13.5;9.4;13.100000000000001;10.299999999999999;16.0;16.3;22.0;8.6;1.0999999999999999;23.599999999999998;7.000000000000001;7.1;2.7;1.5;8.6;8.3;13.5;12.7;14.099999999999998;13.5;13.4;13.5;13.900000000000002;14.399999999999999;12.4;[None, None, None]
DTR AB_R_5000.csv;11.5;7.8;13.600000000000001;18.0;16.900000000000002;15.4;0;11.0;14.000000000000002;10.6;17.599999999999998;15.4;20.599999999999998;9.5;0.5;26.6;7.9;6.5;5.2;3.3000000000000003;6.9;6.6000000000000005;15.1;13.200000000000001;12.8;11.4;13.0;14.6;13.3;12.2;12.1;[None, None, None]
DTR QL_10k_R_1000.csv;11.4;7.6;10.4;16.1;15.2;14.299999999999999;12.9;0;16.1;10.7;16.400000000000002;15.299999999999999;21.0;12.2;0.5;24.7;7.1;6.4;5.6000000000000005;2.9000000000000004;8.5;7.000000000000001;15.4;11.799999999999999;11.600000000000001;12.3;13.900000000000002;13.700000000000001;11.700000000000001;12.9;13.600000000000001;[None, None, None]
DTR QL_10k_R_2000.csv;10.5;7.5;13.100000000000001;15.4;15.1;14.499999999999998;14.299999999999999;11.5;0;12.7;14.6;15.1;22.1;10.9;1.2;24.5;7.000000000000001;5.3;5.4;2.9000000000000004;8.4;6.9;13.900000000000002;15.5;13.100000000000001;13.100000000000001;13.0;12.3;13.0;13.0;14.799999999999999;[None, None, None]
DTR QL_10k_R_3000.csv;12.1;6.9;12.9;16.400000000000002;16.2;15.8;13.8;10.0;14.000000000000002;0;15.2;15.7;22.7;11.200000000000001;0.8;25.4;6.6000000000000005;6.7;5.0;2.6;7.5;8.7;13.3;13.200000000000001;11.4;10.8;12.9;14.000000000000002;14.099999999999998;12.9;13.600000000000001;[None, None, None]
