;R 1;AB 1;DTR AB_R_1000.csv;DTR AB_R_2000.csv;DTR AB_R_3000.csv;DTR AB_R_4000.csv;DTR AB_R_5000.csv;DTR QL_10k_R_1000.csv;DTR QL_10k_R_2000.csv;DTR QL_10k_R_3000.csv;DTR QL_10k_R_4000.csv;DTR QL_10k_R_5000.csv;DTR QL_1k_R_1000.csv;DTR QL_1k_R_2000.csv;DTR QL_1k_R_3000.csv;DTR QL_1k_R_4000.csv;DTR QL_1k_R_5000.csv;DTR R_100k.csv;DTR R_R_1000.csv;DTR R_R_2000.csv;DTR R_R_3000.csv;DTR R_R_4000.csv;DTR R_R_5000.csv;QL R10k;QL R20k;QL R30k;QL R40k;QL R50k;QL R60k;QL R70k;QL R80k;[None, None, None]
R 1;0;81.10000000000001;55.1;28.7;32.4;31.8;48.9;43.0;36.7;44.2;40.9;38.0;28.9;33.4;44.3;25.8;52.0;89.60000000000001;28.4;56.39999999999999;33.1;59.599999999999994;46.1;32.0;30.7;33.2;34.8;29.299999999999997;29.2;30.9;31.2;[None, None, None]
AB 1;7.8;0;28.599999999999998;2.5;2.9000000000000004;2.3;5.3;5.800000000000001;3.2;3.8;3.3000000000000003;2.5;10.8;9.700000000000001;16.0;11.3;31.3;83.3;5.7;31.6;0.0;17.299999999999997;5.2;8.4;9.700000000000001;7.8;8.5;8.4;7.8;6.800000000000001;7.9;[None, None, None]
DTR AB_R_1000.csv;27.3;83.2;0;33.1;32.7;33.5;48.8;42.1;38.800000000000004;42.1;38.0;34.2;29.799999999999997;33.2;48.199999999999996;26.8;53.7;90.60000000000001;27.3;58.4;29.5;60.199999999999996;50.8;35.3;32.300000000000004;32.800000000000004;30.2;32.1;30.8;31.7;30.0;[None, None, None]
DTR AB_R_2000.csv;28.1;83.3;53.1;0;32.1;34.599999999999994;46.7;41.5;36.6;41.6;39.800000000000004;39.0;29.599999999999998;34.599999999999994;46.400000000000006;30.8;51.6;91.3;28.299999999999997;55.400000000000006;32.1;59.3;46.1;27.700000000000003;32.4;31.3;31.7;29.2;30.8;32.9;29.7;[None, None, None]
DTR AB_R_3000.csv;28.1;81.5;54.400000000000006;33.5;0;34.9;48.199999999999996;42.9;37.4;43.2;36.8;41.099999999999994;29.5;32.2;47.5;30.0;50.2;90.4;29.9;53.800000000000004;33.4;59.3;50.0;29.799999999999997;33.7;31.3;32.7;28.799999999999997;27.900000000000002;30.3;30.0;[None, None, None]
DTR AB_R_4000.csv;29.299999999999997;82.5;55.800000000000004;34.2;29.299999999999997;0;47.3;43.4;36.4;42.199999999999996;36.199999999999996;38.800000000000004;30.4;36.7;46.400000000000006;32.300000000000004;49.4;88.1;27.3;55.50000000000001;32.9;58.3;48.5;31.2;30.2;31.7;32.4;30.3;28.299999999999997;33.2;29.7;[None, None, None]
DTR AB_R_5000.csv;27.900000000000002;82.69999999999999;53.800000000000004;31.8;30.099999999999998;30.7;0;38.7;36.0;42.4;37.3;39.6;30.4;32.7;49.0;28.999999999999996;51.1;90.60000000000001;29.5;53.7;33.2;62.1;46.400000000000006;28.999999999999996;31.0;34.1;31.3;28.9;31.1;33.1;31.3;[None, None, None]
DTR QL_10k_R_1000.csv;29.599999999999998;80.60000000000001;57.9;34.300000000000004;31.4;33.300000000000004;49.9;0;36.199999999999996;46.2;36.3;40.9;30.599999999999998;32.9;48.9;31.7;52.2;90.0;28.299999999999997;52.800000000000004;32.2;61.9;48.199999999999996;31.4;30.5;30.8;32.9;30.099999999999998;31.8;29.799999999999997;31.8;[None, None, None]
DTR QL_10k_R_2000.csv;29.4;82.8;51.9;31.8;31.2;35.699999999999996;46.1;42.6;0;42.8;38.0;39.300000000000004;28.4;34.2;43.9;31.2;50.0;91.2;30.8;53.0;32.300000000000004;60.3;49.6;29.299999999999997;28.199999999999996;32.6;28.999999999999996;30.5;30.7;30.4;31.2;[None, None, None]
DTR QL_10k_R_3000.csv;28.999999999999996;81.69999999999999;54.6;33.900000000000006;30.4;34.300000000000004;48.1;41.4;38.6;0;35.9;40.2;28.9;32.5;49.4;28.1;53.0;90.7;28.9;53.6;32.4;59.199999999999996;45.800000000000004;28.999999999999996;32.300000000000004;30.0;30.3;29.4;31.1;30.7;33.2;[None, None, None]
DTR QL_10k_R_4000.csv;26.6;81.89999999999999;53.1;30.4;29.7;31.3;48.3;41.3;37.0;43.3;0;40.0;30.0;35.5;50.2;29.7;53.800000000000004;90.7;31.3;54.1;32.0;59.5;47.8;33.2;34.0;31.8;28.599999999999998;31.1;28.7;31.0;31.8;[None, None, None]
DTR QL_10k_R_5000.csv;28.1;81.8;51.9;29.299999999999997;30.099999999999998;31.900000000000002;46.9;40.1;35.099999999999994;46.300000000000004;40.2;0;30.4;36.8;44.7;31.0;51.1;90.3;27.800000000000004;55.300000000000004;34.0;57.4;46.1;29.2;34.2;29.299999999999997;32.0;32.6;28.1;33.0;36.199999999999996;[None, None, None]
DTR QL_1k_R_1000.csv;29.4;83.0;55.00000000000001;33.4;33.800000000000004;34.1;46.7;41.5;40.300000000000004;45.9;37.4;39.300000000000004;0;34.2;46.9;27.0;51.0;91.3;28.199999999999996;56.00000000000001;29.5;60.099999999999994;44.4;32.2;33.1;33.5;31.2;28.299999999999997;33.7;31.3;31.7;[None, None, None]
