;R 1;AB 1;DTR AB_R_1000;DTR AB_R_2000;DTR AB_R_3000;DTR AB_R_4000;DTR AB_R_5000;DTR QL_10k_R_1000;DTR QL_10k_R_2000;DTR QL_10k_R_3000;DTR QL_10k_R_4000;DTR QL_10k_R_5000;DTR QL_1k_R_1000;DTR QL_1k_R_2000;DTR QL_1k_R_3000;DTR QL_1k_R_4000;DTR QL_1k_R_5000;DTR R_100k;DTR R_R_1000;DTR R_R_2000;DTR R_R_3000;DTR R_R_4000;DTR R_R_5000;QL R10k;QL R20k;QL R30k;QL R40k;QL R50k;QL R60k;QL R70k;QL R80k;QL AB_R 2k;QL AB_R 3k;QL AB_R 4k;QL AB_R 5k;QL AB_R 6k;QL AB_R 7k;QL AB_R 8k;QL AB_R 9k;QL AB_R 10k;[None, None, None]
R 1;0;9,6;35,099999999999994;52,400000000000006;54,2;50,4;40,9;47,199999999999996;48,3;44,9;46,400000000000006;44,1;49,5;55,900000000000006;51,7;43,9;39,6;2,9000000000000004;67,9;42,8;59,9;33,300000000000004;38,7;53,7;53,300000000000004;56,2;57,199999999999996;56,39999999999999;55,900000000000006;55,00000000000001;53,6;57,099999999999994;55,2;55,900000000000006;53,7;54,50000000000001;52,5;54,7;55,800000000000004;59,599999999999994;[None, None, None]
AB 1;87,9;0;72,2;96,2;96,8;96,1;92,7;92,9;94,1;94,89999999999999;97,3;96,2;78,10000000000001;87,6;83,7;79,60000000000001;67,7;0,0;93,5;68,30000000000001;100,0;79,5;90,9;87,3;89,0;84,89999999999999;85,2;87,7;86,7;88,1;87,3;85,9;87,6;86,6;86,8;89,0;85,8;86,7;83,6;84,3;[None, None, None]
DTR AB_R_1000;58,199999999999996;11,0;0;51,7;53,0;54,0;41,699999999999996;47,699999999999996;47,8;44,6;47,9;44,9;51,0;56,99999999999999;48,3;48,3;42,6;3,3000000000000003;66,0;41,199999999999996;54,6;33,2;37,4;52,2;58,8;54,6;56,00000000000001;55,7;53,5;51,7;57,8;57,9;53,300000000000004;57,4;55,60000000000001;54,1;55,00000000000001;55,00000000000001;53,7;57,699999999999996;[None, None, None]
DTR AB_R_2000;59,8;10,5;32,800000000000004;0;51,7;54,1;39,800000000000004;46,0;47,9;43,5;46,5;48,6;48,699999999999996;57,599999999999994;51,5;45,7;41,6;2,7;66,9;40,9;58,099999999999994;33,300000000000004;35,9;56,8;56,2;56,2;56,599999999999994;57,099999999999994;56,00000000000001;56,2;55,1;59,8;56,599999999999994;57,099999999999994;55,00000000000001;57,8;55,1;55,60000000000001;54,400000000000006;55,7;[None, None, None]
DTR AB_R_3000;58,8;10,7;31,1;50,3;0;52,800000000000004;40,8;47,9;46,300000000000004;46,7;45,800000000000004;46,400000000000006;48,699999999999996;57,599999999999994;50,5;47,599999999999994;39,0;3,8;67,0;45,7;57,49999999999999;30,2;37,2;56,49999999999999;53,300000000000004;56,3;53,7;56,3;54,7;53,5;58,599999999999994;59,0;55,00000000000001;56,3;56,10000000000001;54,900000000000006;53,1;56,8;55,800000000000004;56,99999999999999;[None, None, None]
DTR AB_R_4000;53,5;10,6;33,800000000000004;50,6;53,900000000000006;0;39,5;46,300000000000004;49,8;44,0;44,5;46,2;49,2;57,9;49,4;44,800000000000004;39,6;2,4;65,5;43,6;57,8;30,4;39,300000000000004;56,599999999999994;56,3;59,599999999999994;56,8;55,60000000000001;54,7;53,900000000000006;58,099999999999994;59,3;55,900000000000006;56,49999999999999;57,099999999999994;55,900000000000006;55,7;55,800000000000004;54,800000000000004;57,8;[None, None, None]
DTR AB_R_5000;56,599999999999994;11,0;31,7;52,0;53,0;51,7;0;47,0;50,5;43,1;47,3;49,0;49,3;55,00000000000001;47,9;44,6;40,1;3,9;65,0;39,0;60,8;30,8;36,7;55,300000000000004;53,2;55,2;60,8;57,099999999999994;54,6;54,2;56,39999999999999;58,3;56,699999999999996;59,099999999999994;55,1;54,0;53,800000000000004;52,300000000000004;55,2;56,3;[None, None, None]
DTR QL_10k_R_1000;57,099999999999994;10,6;33,5;53,900000000000006;52,0;52,6;36,7;0;48,8;44,5;45,1;44,4;51,1;55,2;53,5;43,6;42,699999999999996;3,5000000000000004;65,2;43,2;60,0;32,7;38,7;53,800000000000004;55,7;56,10000000000001;55,300000000000004;53,900000000000006;55,50000000000001;55,60000000000001;55,50000000000001;57,099999999999994;54,7;54,800000000000004;52,800000000000004;54,300000000000004;56,10000000000001;57,199999999999996;53,800000000000004;53,7;[None, None, None]
DTR QL_10k_R_2000;58,5;9,4;32,6;49,4;53,300000000000004;50,8;37,8;48,3;0;47,0;43,7;46,300000000000004;50,4;60,5;49,5;46,300000000000004;40,699999999999996;3,2;63,9;44,1;61,3;32,0;38,2;56,2;55,50000000000001;55,00000000000001;56,10000000000001;57,199999999999996;55,60000000000001;55,800000000000004;54,300000000000004;58,199999999999996;56,599999999999994;55,900000000000006;56,8;53,400000000000006;53,1;54,300000000000004;56,3;57,199999999999996;[None, None, None]
DTR QL_10k_R_3000;59,699999999999996;10,7;34,2;50,9;53,0;52,2;40,5;45,1;50,1;0;45,1;47,599999999999994;52,400000000000006;57,9;53,6;43,6;40,9;2,9000000000000004;64,8;43,0;59,599999999999994;35,3;37,5;54,900000000000006;54,7;55,2;55,400000000000006;58,699999999999996;58,8;53,6;56,99999999999999;58,699999999999996;52,1;57,599999999999994;53,5;55,60000000000001;55,7;55,00000000000001;53,5;56,39999999999999;[None, None, None]
DTR QL_10k_R_4000;60,699999999999996;10,0;31,4;53,5;51,0;51,9;42,699999999999996;45,4;47,699999999999996;44,2;0;45,300000000000004;48,8;58,599999999999994;49,9;50,1;41,6;3,1;64,9;42,4;57,3;32,800000000000004;40,1;56,49999999999999;55,7;53,900000000000006;55,50000000000001;56,49999999999999;57,9;53,6;54,7;58,199999999999996;54,0;54,6;54,50000000000001;54,400000000000006;56,699999999999996;54,6;59,099999999999994;60,199999999999996;[None, None, None]
DTR QL_10k_R_5000;57,49999999999999;11,799999999999999;32,6;52,7;51,2;51,4;37,2;46,0;46,5;46,300000000000004;43,7;0;47,5;55,400000000000006;48,699999999999996;44,0;43,7;3,5000000000000004;63,4;44,3;58,9;33,5;39,300000000000004;56,3;57,99999999999999;57,199999999999996;57,8;56,599999999999994;56,49999999999999;57,4;54,0;60,0;53,7;54,900000000000006;54,6;52,7;53,7;54,2;53,0;56,699999999999996;[None, None, None]
