;R 1;AB 1;DTR AB_R_1000.csv;DTR AB_R_2000.csv;DTR AB_R_3000.csv;DTR AB_R_4000.csv;DTR AB_R_5000.csv;DTR QL_10k_R_1000.csv;DTR QL_10k_R_2000.csv;DTR QL_10k_R_3000.csv;DTR QL_10k_R_4000.csv;DTR QL_10k_R_5000.csv;DTR QL_1k_R_1000.csv;DTR QL_1k_R_2000.csv;DTR QL_1k_R_3000.csv;DTR QL_1k_R_4000.csv;DTR QL_1k_R_5000.csv;DTR R_100k.csv;DTR R_R_1000.csv;DTR R_R_2000.csv;DTR R_R_3000.csv;DTR R_R_4000.csv;DTR R_R_5000.csv;QL R1k;QL R2k;QL R3k;QL R4k;QL R5k;QL R6k;QL R7k;QL R8k;QL R9k;[None, None, None]
R 1;0;12.1;34.4;52.300000000000004;51.9;51.0;40.0;44.9;49.7;43.0;46.400000000000006;45.5;50.7;58.099999999999994;48.699999999999996;44.800000000000004;39.900000000000006;2.3;64.7;44.7;60.8;34.300000000000004;34.5;55.800000000000004;52.6;54.900000000000006;55.2;55.900000000000006;56.39999999999999;57.599999999999994;52.1;53.900000000000006;[None, None, None]
AB 1;86.7;0;68.89999999999999;96.0;96.3;96.39999999999999;93.89999999999999;93.60000000000001;94.69999999999999;93.4;97.0;95.39999999999999;80.30000000000001;85.5;83.2;80.2;66.8;0.0;89.9;69.69999999999999;100.0;81.89999999999999;91.2;86.9;87.4;87.1;85.2;84.5;86.7;87.8;85.1;84.89999999999999;[None, None, None]
DTR AB_R_1000.csv;58.4;11.700000000000001;0;52.1;53.300000000000004;50.8;38.9;43.3;49.8;45.6;48.3;50.0;51.1;54.7;53.1;47.5;42.9;3.5999999999999996;62.6;41.9;56.699999999999996;31.7;38.800000000000004;57.49999999999999;54.400000000000006;57.3;56.00000000000001;56.00000000000001;54.400000000000006;52.6;54.0;54.7;[None, None, None]
DTR AB_R_2000.csv;58.599999999999994;11.200000000000001;31.4;0;52.7;50.2;40.300000000000004;43.8;49.9;46.1;47.199999999999996;46.1;51.1;56.49999999999999;53.900000000000006;47.9;41.6;2.8000000000000003;65.4;40.1;63.2;33.0;36.5;56.99999999999999;54.800000000000004;54.400000000000006;55.400000000000006;54.7;55.300000000000004;59.5;54.7;56.3;[None, None, None]
DTR AB_R_3000.csv;59.5;11.200000000000001;34.300000000000004;50.4;0;53.7;41.8;42.0;48.1;45.300000000000004;44.5;47.8;52.400000000000006;54.50000000000001;50.5;50.5;43.7;4.3999999999999995;63.3;39.900000000000006;58.699999999999996;31.900000000000002;39.300000000000004;59.099999999999994;54.2;56.00000000000001;55.300000000000004;54.50000000000001;56.599999999999994;56.39999999999999;55.60000000000001;54.900000000000006;[None, None, None]
DTR AB_R_4000.csv;57.99999999999999;11.0;33.7;52.400000000000006;54.7;0;37.6;43.5;50.1;46.6;45.300000000000004;44.3;50.5;54.6;53.800000000000004;47.8;39.1;3.0;65.8;41.0;60.8;32.300000000000004;37.5;57.099999999999994;56.699999999999996;55.2;55.7;54.300000000000004;55.900000000000006;54.400000000000006;55.2;54.1;[None, None, None]
DTR AB_R_5000.csv;56.599999999999994;10.4;33.0;48.3;52.7;52.0;0;42.199999999999996;48.199999999999996;43.6;44.3;48.3;50.0;55.50000000000001;50.5;46.400000000000006;41.8;3.0;64.2;41.6;58.4;32.6;34.8;57.099999999999994;54.0;56.8;55.60000000000001;54.0;56.49999999999999;54.2;53.300000000000004;56.599999999999994;[None, None, None]
DTR QL_10k_R_1000.csv;57.8;10.8;31.6;50.8;55.800000000000004;54.50000000000001;37.8;0;48.1;42.699999999999996;47.099999999999994;47.699999999999996;51.1;53.6;51.7;44.4;41.8;2.8000000000000003;64.0;40.5;55.300000000000004;32.2;36.8;56.2;55.300000000000004;56.3;55.50000000000001;53.800000000000004;56.3;58.699999999999996;56.8;55.60000000000001;[None, None, None]
DTR QL_10k_R_2000.csv;59.5;10.8;31.900000000000002;50.7;55.00000000000001;53.800000000000004;39.1;45.6;0;45.6;46.6;45.300000000000004;51.800000000000004;56.2;53.300000000000004;43.4;38.9;2.0;65.2;41.3;55.60000000000001;33.5;39.7;58.199999999999996;56.00000000000001;55.60000000000001;56.49999999999999;56.3;54.400000000000006;59.599999999999994;57.99999999999999;57.599999999999994;[None, None, None]
DTR QL_10k_R_3000.csv;57.099999999999994;9.1;34.300000000000004;50.9;53.800000000000004;50.8;40.400000000000006;44.9;48.699999999999996;0;42.5;46.9;50.1;59.3;51.4;42.699999999999996;42.699999999999996;3.2;63.3;41.5;60.3;35.199999999999996;35.099999999999994;56.99999999999999;52.2;58.099999999999994;55.2;56.8;54.0;55.50000000000001;54.6;57.099999999999994;[None, None, None]
DTR QL_10k_R_4000.csv;58.3;9.1;34.5;53.900000000000006;55.300000000000004;48.8;36.7;43.5;48.3;46.7;0;46.5;49.9;57.8;48.1;44.2;41.6;3.2;65.0;40.1;57.599999999999994;36.8;38.1;57.8;53.2;56.49999999999999;54.2;52.1;55.2;58.5;55.800000000000004;54.6;[None, None, None]
DTR QL_10k_R_5000.csv;56.10000000000001;9.6;33.900000000000006;48.5;55.800000000000004;52.1;41.099999999999994;42.9;47.699999999999996;44.1;46.2;0;50.3;54.300000000000004;51.7;46.0;41.8;2.8000000000000003;64.60000000000001;41.8;58.9;32.1;34.9;56.49999999999999;52.1;54.800000000000004;53.5;56.89999999999999;58.199999999999996;58.4;54.50000000000001;55.00000000000001;[None, None, None]
DTR QL_1k_R_1000.csv;58.5;9.6;33.7;47.9;53.6;55.2;41.3;46.400000000000006;50.0;44.5;44.9;48.9;0;56.10000000000001;53.0;45.1;38.1;2.0;64.9;41.4;59.5;30.9;36.0;58.199999999999996;53.0;54.800000000000004;55.900000000000006;53.7;57.099999999999994;56.39999999999999;53.6;54.0;[None, None, None]
DTR QL_1k_R_2000.csv;57.99999999999999;10.9;34.699999999999996;51.5;51.5;53.900000000000006;38.3;45.1;47.9;44.2;46.300000000000004;47.099999999999994;51.2;0;50.4;44.4;40.5;3.5000000000000004;62.8;44.2;58.099999999999994;34.599999999999994;38.5;60.3;55.300000000000004;55.60000000000001;55.300000000000004;56.2;55.300000000000004;57.099999999999994;56.599999999999994;53.2;[None, None, None]
DTR QL_1k_R_3000.csv;57.099999999999994;10.9;34.300000000000004;51.1;51.7;49.3;36.3;42.4;48.1;45.300000000000004;42.6;43.2;49.0;56.99999999999999;0;46.9;42.199999999999996;3.4000000000000004;62.2;43.2;58.8;31.4;37.1;57.49999999999999;54.0;57.8;58.099999999999994;54.300000000000004;55.900000000000006;54.6;51.6;57.099999999999994;[None, None, None]
DTR QL_1k_R_4000.csv;60.199999999999996;10.5;31.900000000000002;50.7;50.6;51.4;38.4;45.6;49.5;45.300000000000004;47.8;47.099999999999994;49.4;58.099999999999994;53.5;0;40.1;3.0;63.0;41.3;58.699999999999996;29.2;36.4;56.49999999999999;51.800000000000004;56.8;56.699999999999996;56.89999999999999;55.00000000000001;58.699999999999996;56.00000000000001;57.3;[None, None, None]
DTR QL_1k_R_5000.csv;60.5;10.5;31.3;51.5;54.1;52.300000000000004;43.0;44.4;51.9;48.5;48.8;45.4;48.699999999999996;55.900000000000006;53.900000000000006;45.1;0;3.2;62.3;41.5;60.6;33.900000000000006;40.6;58.099999999999994;54.1;53.300000000000004;56.3;53.900000000000006;55.800000000000004;54.1;52.300000000000004;56.99999999999999;[None, None, None]
DTR R_100k.csv;99.1;78.0;100.0;100.0;100.0;100.0;100.0;99.4;98.2;98.1;98.5;98.4;100.0;100.0;100.0;100.0;100.0;0;100.0;100.0;100.0;100.0;100.0;100.0;98.6;99.1;99.2;98.5;98.7;99.2;98.5;99.4;[None, None, None]
DTR R_R_1000.csv;59.9;10.5;34.300000000000004;50.7;52.400000000000006;53.5;38.4;44.1;48.699999999999996;45.6;44.1;44.2;49.5;56.39999999999999;52.0;45.2;41.3;2.5;0;37.2;61.3;30.8;37.9;57.49999999999999;53.6;51.2;54.0;56.49999999999999;57.199999999999996;56.8;52.800000000000004;54.7;[None, None, None]
DTR R_R_2000.csv;58.9;10.0;33.7;52.400000000000006;52.0;50.1;37.4;44.9;48.0;46.2;48.199999999999996;47.5;50.2;57.8;52.5;45.9;40.300000000000004;3.3000000000000003;66.5;0;57.599999999999994;32.7;36.6;57.8;54.50000000000001;57.099999999999994;51.7;54.50000000000001;56.49999999999999;52.6;55.300000000000004;55.400000000000006;[None, None, None]
DTR R_R_3000.csv;57.699999999999996;10.9;34.4;51.300000000000004;55.300000000000004;51.4;39.2;42.8;45.5;46.400000000000006;46.400000000000006;42.199999999999996;49.6;57.199999999999996;52.7;41.699999999999996;39.6;4.0;66.4;42.4;0;33.7;38.2;57.9;54.900000000000006;54.800000000000004;55.60000000000001;57.699999999999996;55.7;56.10000000000001;54.50000000000001;54.6;[None, None, None]
DTR R_R_4000.csv;59.5;11.1;32.0;51.6;51.4;49.9;38.2;42.5;49.5;40.9;43.7;47.0;51.1;56.2;49.7;44.4;40.8;3.1;67.0;40.1;61.3;0;37.9;55.800000000000004;51.9;55.2;56.10000000000001;56.89999999999999;56.699999999999996;55.900000000000006;53.0;54.400000000000006;[None, None, None]
DTR R_R_5000.csv;59.599999999999994;10.100000000000001;33.5;51.2;52.5;52.5;39.0;44.9;43.6;46.0;44.6;47.8;49.8;57.699999999999996;50.4;43.4;41.099999999999994;3.1;64.0;43.3;58.3;29.299999999999997;0;56.89999999999999;56.00000000000001;55.60000000000001;59.0;56.699999999999996;54.2;57.9;57.599999999999994;57.3;[None, None, None]
QL R1k;80.30000000000001;6.0;0.0;51.5;100.0;100.0;100.0;79.3;85.5;76.3;85.7;85.3;100.0;52.2;52.5;0.0;100.0;0.0;100.0;82.0;100.0;100.0;85.6;0;75.5;78.8;81.0;78.9;79.0;79.10000000000001;80.7;80.9;[None, None, None]
QL R2k;63.5;21.5;74.3;48.199999999999996;49.5;51.4;74.5;73.0;56.99999999999999;100.0;100.0;100.0;0.0;67.2;100.0;66.10000000000001;52.300000000000004;0.0;52.0;0.0;100.0;0.0;48.699999999999996;61.0;0;59.3;57.3;60.199999999999996;62.3;63.5;59.699999999999996;60.199999999999996;[None, None, None]
QL R3k;67.10000000000001;0.0;0.0;100.0;100.0;100.0;41.9;52.800000000000004;53.2;0.0;35.9;38.2;62.3;49.7;66.9;0.0;0.0;0.0;100.0;67.0;0.0;0.0;0.0;64.60000000000001;62.0;0;65.4;59.4;67.9;63.5;56.00000000000001;64.7;[None, None, None]
QL R4k;63.0;3.1;100.0;100.0;100.0;100.0;52.0;54.2;54.2;12.1;77.3;74.5;0.0;100.0;100.0;65.60000000000001;0.0;0.0;0.0;67.0;100.0;0.0;48.1;62.5;60.199999999999996;62.9;0;65.60000000000001;66.9;62.4;65.10000000000001;65.2;[None, None, None]
QL R5k;53.7;0.0;100.0;100.0;100.0;100.0;60.3;89.0;62.5;50.3;63.0;64.1;100.0;100.0;100.0;100.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;50.0;52.6;51.300000000000004;53.7;0;51.7;51.0;46.800000000000004;51.9;[None, None, None]
QL R6k;64.4;0.0;49.3;27.0;20.7;19.2;19.2;34.300000000000004;40.6;13.4;64.60000000000001;61.3;51.5;100.0;49.2;100.0;100.0;0.0;100.0;0.0;47.5;0.0;16.6;62.1;65.9;63.800000000000004;59.4;60.8;0;60.0;62.3;62.5;[None, None, None]
QL R7k;55.400000000000006;0.0;0.0;20.4;21.6;20.1;24.2;24.9;39.1;24.099999999999998;36.4;35.8;49.3;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;0.0;56.599999999999994;53.6;46.6;50.6;39.7;50.6;0;46.800000000000004;52.800000000000004;[None, None, None]
QL R8k;56.39999999999999;0.0;100.0;85.1;83.5;82.69999999999999;37.5;31.3;41.5;0.0;28.000000000000004;29.4;48.199999999999996;26.1;0.0;0.0;0.0;0.0;100.0;51.0;0.0;100.0;0.0;60.099999999999994;54.2;45.7;56.89999999999999;51.1;55.60000000000001;56.00000000000001;0;55.1;[None, None, None]
